"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"6433","Female","Married",52,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6437","Male","Single",39,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"6438","Female","Married",28,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1995","Liability","USA"
"6439","Male","Married",43,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"6440","Male","Single",43,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6441","Female","Single",18,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","3 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6442","Male","Married",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"6443","Male","Married",39,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"6444","Male","Single",31,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"6445","Male","Single",32,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","Internal","more than 5","1 vehicle","1994","Liability","USA"
"6446","Male","Married",27,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6452","Male","Married",35,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6454","Male","Married",27,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6455","Female","Married",18,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","3 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"6456","Male","Single",60,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"6458","Male","Married",56,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","2 vehicles","1996","Collision","USA"
"6459","Male","Married",39,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6460","Male","Married",28,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6461","Male","Married",54,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","USA"
"6462","Female","Single",22,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6463","Female","Single",27,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"6467","Male","Married",76,"Third Party","Sedan","20000 to 29000",0,"500","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6470","Male","Single",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6471","Male","Married",44,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6473","Male","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"6474","Male","Married",55,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"6475","Male","Married",26,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6477","Male","Married",41,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6478","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"6480","Male","Single",52,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6482","Male","Married",69,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6483","Male","Married",71,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"6484","Male","Single",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6485","Female","Married",46,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"6486","Female","Married",45,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","3 to 5","1 vehicle","1995","Collision","USA"
"6488","Male","Married",62,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6489","Male","Married",37,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6490","Male","Married",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"6492","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","2 vehicles","1994","All Perils","USA"
"6493","Female","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"6494","Male","Married",29,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"6495","Female","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"6496","Male","Married",36,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"6498","Male","Single",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","Yes","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"6499","Female","Single",57,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6500","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6501","Male","Single",29,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"6502","Male","Single",65,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6503","Male","Married",49,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6506","Male","Single",52,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6507","Male","Married",52,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"6508","Female","Married",33,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6509","Male","Married",29,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","3 to 5","1 vehicle","1995","Liability","USA"
"6510","Male","Married",51,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"6511","Male","Married",44,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6512","Male","Married",42,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","2 vehicles","1996","Collision","USA"
"6513","Male","Single",32,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6514","Male","Married",38,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6515","Male","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","2 vehicles","1995","Liability","USA"
"6516","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"6517","Male","Married",34,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6518","Female","Single",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"6519","Male","Married",36,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"6520","Female","Single",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"6521","Male","Divorced",37,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"6522","Male","Married",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"6523","Male","Married",46,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"6524","Male","Married",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","USA"
